Date,Open,High,Low,Close
16-December-1997,852.18,868.39,852.08,864.11,
17-December-1997,871.42,880.66,871.04,878.52,
18-December-1997,877.55,888.30,873.95,875.72,
19-December-1997,873.70,891.37,873.11,890.96,
22-December-1997,893.92,912.47,893.92,909.56,
23-December-1997,914.75,923.30,911.41,914.79,
24-December-1997,905.08,908.92,893.36,906.99,
26-December-1997,910.07,916.79,910.07,913.46,
29-December-1997,916.77,931.32,916.41,930.52,
30-December-1997,930.12,930.12,911.96,915.12,
31-December-1997,913.73,932.79,913.73,920.23,
1-January-1998,919.87,935.04,919.87,931.00,
2-January-1998,933.17,941.64,932.46,936.28,
5-January-1998,942.33,955.78,942.33,943.89,
6-January-1998,940.59,941.03,930.09,939.14,
7-January-1998,938.17,945.71,925.42,931.51,
8-January-1998,928.96,929.29,908.99,909.13,
9-January-1998,904.72,904.72,886.73,889.42,
12-January-1998,879.37,879.37,857.03,857.79,
13-January-1998,864.64,878.21,862.91,865.96,
14-January-1998,872.19,878.29,854.91,860.02,
15-January-1998,857.85,863.30,841.70,853.50,
16-January-1998,855.31,860.62,850.46,857.07,
19-January-1998,858.01,880.68,855.97,879.66,
20-January-1998,881.28,887.64,871.60,872.99,
21-January-1998,872.34,874.43,864.08,864.08,
22-January-1998,862.17,862.23,851.34,854.22,
23-January-1998,853.30,853.30,844.62,847.03,
27-January-1998,847.33,847.95,827.90,828.83,
28-January-1998,828.00,835.23,810.97,812.96,
29-January-1998,811.23,814.09,801.32,812.80,
2-February-1998,827.03,845.76,827.03,843.80,
3-February-1998,845.17,845.89,836.27,841.66,
4-February-1998,842.61,850.58,831.27,832.39,
5-February-1998,836.57,842.58,835.52,839.83,
6-February-1998,842.16,842.55,835.25,840.35,
9-February-1998,838.94,841.81,835.54,836.20,
10-February-1998,835.48,836.70,827.78,828.19,
11-February-1998,830.83,833.40,821.92,823.17,
12-February-1998,822.46,824.28,815.72,823.77,
13-February-1998,826.77,840.66,824.89,840.55,
16-February-1998,843.19,860.67,843.19,860.23,
17-February-1998,862.47,862.47,849.87,852.09,
18-February-1998,851.34,857.90,846.67,849.79,
19-February-1998,852.49,860.25,852.03,858.19,
20-February-1998,859.68,864.84,852.09,853.75,
23-February-1998,855.77,870.84,855.35,870.63,
24-February-1998,871.55,872.54,867.49,872.23,
26-February-1998,883.79,898.30,883.29,895.58,
27-February-1998,897.82,913.73,897.82,909.92,
2-March-1998,918.19,950.77,918.19,948.39,
3-March-1998,948.64,948.64,905.07,915.86,
4-March-1998,918.78,942.19,918.78,940.42,
5-March-1998,930.91,947.15,930.17,932.16,
6-March-1998,931.12,933.12,922.19,930.05,
9-March-1998,945.01,955.23,944.08,954.54,
10-March-1998,955.23,960.16,947.95,951.07,
11-March-1998,949.82,950.01,925.13,939.48,
12-March-1998,930.92,938.35,925.52,929.71,
16-March-1998,944.63,959.30,944.63,948.45,
17-March-1998,945.46,950.53,935.41,950.25,
18-March-1998,953.26,964.22,950.79,960.32,
19-March-1998,965.56,967.34,954.43,959.98,
20-March-1998,955.64,966.11,951.78,965.68,
23-March-1998,983.26,1001.54,983.26,998.88,
24-March-1998,1003.26,1007.01,990.07,991.50,
25-March-1998,988.67,1003.37,981.57,998.81,
26-March-1998,1003.89,1009.18,981.42,983.36,
27-March-1998,980.79,990.70,975.70,987.58,
30-March-1998,997.76,1007.00,985.73,986.06,
31-March-1998,985.43,990.87,979.55,984.34,
1-April-1998,986.80,1005.55,986.80,1004.63,
2-April-1998,1008.53,1022.17,1006.20,1007.92,
3-April-1998,1011.58,1027.37,1011.58,1026.83,
6-April-1998,1039.07,1056.43,1039.07,1053.35,
7-April-1998,1052.27,1066.07,1051.53,1060.36,
8-April-1998,1067.06,1068.40,1047.47,1059.24,
10-April-1998,1059.67,1064.49,1044.39,1047.58,
13-April-1998,1033.71,1053.90,1033.71,1041.20,
15-April-1998,1049.03,1074.79,1049.03,1069.83,
16-April-1998,1071.12,1074.86,1053.81,1054.07,
17-April-1998,1054.18,1067.37,1049.46,1067.23,
20-April-1998,1075.31,1095.46,1074.91,1075.56,
21-April-1998,1081.04,1096.88,1081.04,1096.16,
22-April-1998,1102.35,1107.06,1068.96,1068.96,
23-April-1998,1064.94,1075.23,1045.15,1047.31,
