Date,Open,High,Low,Close
31-May-2007,,,,7413.03,
1-June-2007,,,,7473.87,
4-June-2007,,,,7466.77,
5-June-2007,,,,7486.67,
6-June-2007,,,,7389.76,
7-June-2007,,,,7391.02,
8-June-2007,,,,7342.59,
11-June-2007,,,,7320.01,
12-June-2007,,,,7228.88,
13-June-2007,,,,7224.27,
14-June-2007,,,,7320.91,
15-June-2007,,,,7350.25,
18-June-2007,,,,7316.68,
19-June-2007,,,,7357.75,
20-June-2007,,,,7420.44,
21-June-2007,,,,7496.48,
22-June-2007,,,,7513.12,
25-June-2007,,,,7564.21,
26-June-2007,,,,7604.72,
27-June-2007,,,,7613.84,
28-June-2007,,,,7662.10,
29-June-2007,,,,7730.40,
2-July-2007,,,,7783.26,
3-July-2007,,,,7846.13,
4-July-2007,,,,7855.66,
5-July-2007,,,,7796.02,
6-July-2007,,,,7904.11,
9-July-2007,,,,8019.99,
10-July-2007,,,,8009.66,
11-July-2007,,,,8074.86,
12-July-2007,,,,8215.56,
13-July-2007,,,,8216.14,
16-July-2007,,,,8280.58,
17-July-2007,,,,8207.77,
18-July-2007,,,,8184.11,
19-July-2007,,,,8258.52,
20-July-2007,,,,8188.12,
23-July-2007,,,,8234.45,
24-July-2007,,,,8153.63,
25-July-2007,,,,8056.36,
26-July-2007,,,,8145.86,
27-July-2007,,,,7926.45,
30-July-2007,,,,7941.75,
31-July-2007,,,,8070.63,
1-August-2007,,,,7775.90,
2-August-2007,,,,7805.46,
3-August-2007,,,,7891.54,
6-August-2007,,,,7842.59,
7-August-2007,,,,7914.37,
8-August-2007,,,,8051.22,
9-August-2007,,,,7964.12,
10-August-2007,,,,7904.13,
13-August-2007,,,,8028.28,
14-August-2007,,,,8034.56,
16-August-2007,,,,7797.26,
17-August-2007,,,,7694.80,
20-August-2007,,,,7832.36,
21-August-2007,,,,7538.45,
22-August-2007,,,,7518.70,
23-August-2007,,,,7424.39,
24-August-2007,,,,7522.25,
27-August-2007,,,,7725.52,
28-August-2007,,,,7808.44,
29-August-2007,,,,7874.22,
30-August-2007,,,,7957.96,
31-August-2007,,,,8060.52,
3-September-2007,,,,8194.45,
4-September-2007,,,,8270.95,
5-September-2007,,,,8289.81,
6-September-2007,,,,8395.58,
7-September-2007,,,,8433.52,
10-September-2007,,,,8514.37,
11-September-2007,,,,8529.09,
12-September-2007,,,,8572.35,
13-September-2007,,,,8638.26,
14-September-2007,,,,8572.76,
17-September-2007,,,,8640.23,
18-September-2007,,,,8780.89,
19-September-2007,,,,8871.00,
20-September-2007,,,,8876.07,
21-September-2007,,,,8895.30,
24-September-2007,,,,8963.43,
25-September-2007,,,,8967.51,
26-September-2007,,,,9029.34,
27-September-2007,,,,9046.55,
28-September-2007,,,,9099.93,
1-October-2007,,,,9184.52,
3-October-2007,,,,9102.31,
4-October-2007,,,,9141.92,
5-October-2007,,,,9101.87,
8-October-2007,,,,8801.00,
9-October-2007,,,,8976.76,
10-October-2007,,,,9022.75,
11-October-2007,,,,9120.38,
12-October-2007,,,,9098.65,
15-October-2007,,,,9311.97,
16-October-2007,,,,9356.13,
17-October-2007,,,,9201.58,
18-October-2007,,,,9078.75,
19-October-2007,,,,8800.32,
22-October-2007,,,,8851.47,
23-October-2007,,,,9135.72,
24-October-2007,,,,9242.38,
25-October-2007,,,,9367.08,
26-October-2007,,,,9550.95,
29-October-2007,,,,9705.20,
30-October-2007,,,,9644.44,
31-October-2007,,,,9796.86,
1-November-2007,,,,9646.61,
2-November-2007,,,,9742.43,
5-November-2007,,,,9847.02,
6-November-2007,,,,9803.03,
7-November-2007,,,,9695.13,
8-November-2007,,,,9610.91,
9-November-2007,,,,9756.88,
12-November-2007,,,,9619.64,
13-November-2007,,,,9801.29,
14-November-2007,,,,10039.38,
15-November-2007,,,,10227.66,
16-November-2007,,,,10380.73,
19-November-2007,,,,10672.89,
20-November-2007,,,,10691.16,
21-November-2007,,,,10265.23,
22-November-2007,,,,10060.87,
23-November-2007,,,,10171.43,
26-November-2007,,,,10343.25,
27-November-2007,,,,10372.07,
28-November-2007,,,,10375.30,
29-November-2007,,,,10389.75,
30-November-2007,,,,10526.02,
3-December-2007,,,,10786.20,
4-December-2007,,,,10956.51,
5-December-2007,,,,11271.96,
6-December-2007,,,,11360.73,
7-December-2007,,,,11342.27,
10-December-2007,,,,11530.92,
11-December-2007,,,,11667.84,
12-December-2007,,,,11884.99,
13-December-2007,,,,12007.33,
14-December-2007,,,,12195.50,
17-December-2007,,,,11840.02,
18-December-2007,,,,11818.12,
19-December-2007,,,,11915.36,
20-December-2007,,,,11813.32,
24-December-2007,,,,11980.57,
26-December-2007,,,,12342.49,
27-December-2007,,,,12628.74,
28-December-2007,,,,12901.29,
31-December-2007,,,,13348.37,
1-January-2008,,,,13703.07,
2-January-2008,,,,13908.97,
3-January-2008,,,,13896.71,
4-January-2008,,,,13884.11,
7-January-2008,,,,13975.19,
8-January-2008,,,,13516.13,
9-January-2008,,,,13369.95,
10-January-2008,,,,12858.63,
11-January-2008,,,,12694.02,
14-January-2008,,,,12862.39,
15-January-2008,,,,12755.29,
16-January-2008,,,,12522.21,
17-January-2008,,,,12740.29,
18-January-2008,,,,12160.45,
21-January-2008,,,,10911.66,
22-January-2008,,,,10028.39,
23-January-2008,,,,10425.34,
24-January-2008,,,,10013.96,
25-January-2008,,,,10420.90,
28-January-2008,,,,10303.51,
29-January-2008,,,,10377.67,
30-January-2008,,,,10146.86,
31-January-2008,,,,10124.42,
1-February-2008,,,,10072.32,
4-February-2008,,,,10361.78,
5-February-2008,,,,10466.78,
6-February-2008,,,,10412.81,
7-February-2008,,,,10202.63,
8-February-2008,,,,9920.35,
11-February-2008,,,,9440.10,
12-February-2008,,,,9173.68,
13-February-2008,,,,9049.70,
14-February-2008,,,,9407.76,
15-February-2008,,,,9621.13,
18-February-2008,,,,9755.35,
19-February-2008,,,,9795.54,
20-February-2008,,,,9631.26,
21-February-2008,,,,9692.99,
22-February-2008,,,,9595.41,
25-February-2008,,,,9526.28,
26-February-2008,,,,9648.49,
27-February-2008,,,,9673.86,
28-February-2008,,,,9668.13,
29-February-2008,,,,9628.13,
3-March-2008,,,,9238.35,
4-March-2008,,,,8953.28,
5-March-2008,,,,8809.79,
7-March-2008,,,,8409.18,
10-March-2008,,,,8248.73,
11-March-2008,,,,8559.10,
12-March-2008,,,,8531.92,
13-March-2008,,,,8075.18,
14-March-2008,,,,8079.50,
17-March-2008,,,,7522.23,
18-March-2008,,,,7365.20,
19-March-2008,,,,7222.20,
24-March-2008,,,,6950.12,
25-March-2008,,,,7284.64,
26-March-2008,,,,7438.96,
27-March-2008,,,,7526.78,
28-March-2008,,,,7901.98,
31-March-2008,,,,7841.62,
1-April-2008,,,,7861.76,
2-April-2008,,,,7912.14,
3-April-2008,,,,7840.29,
4-April-2008,,,,7714.99,
7-April-2008,,,,7777.94,
8-April-2008,,,,7814.17,
9-April-2008,,,,7941.11,
10-April-2008,,,,8031.06,
11-April-2008,,,,8081.43,
15-April-2008,,,,8204.39,
16-April-2008,,,,8351.14,
17-April-2008,,,,8531.36,
21-April-2008,,,,8752.83,
22-April-2008,,,,8798.08,
23-April-2008,,,,8799.86,
24-April-2008,,,,8741.01,
25-April-2008,,,,8727.72,
28-April-2008,,,,8709.82,
29-April-2008,,,,8785.31,
30-April-2008,,,,8773.57,
2-May-2008,,,,8821.71,
5-May-2008,,,,8845.35,
6-May-2008,,,,8749.24,
7-May-2008,,,,8727.17,
8-May-2008,,,,8689.04,
9-May-2008,,,,8505.64,
12-May-2008,,,,8403.56,
13-May-2008,,,,8397.71,
14-May-2008,,,,8434.49,
15-May-2008,,,,8546.41,
16-May-2008,,,,8620.26,
20-May-2008,,,,8658.61,
21-May-2008,,,,8788.98,
22-May-2008,,,,8663.84,
23-May-2008,,,,8517.43,
26-May-2008,,,,8318.20,
27-May-2008,,,,8210.08,
28-May-2008,,,,8237.09,
29-May-2008,,,,8181.07,
30-May-2008,,,,8133.04,
2-June-2008,,,,7959.51,
3-June-2008,,,,7882.29,
4-June-2008,,,,7720.26,
5-June-2008,,,,7735.59,
6-June-2008,,,,7696.05,
9-June-2008,,,,7416.54,
10-June-2008,,,,7341.16,
11-June-2008,,,,7467.30,
12-June-2008,,,,7525.90,
13-June-2008,,,,7581.72,
16-June-2008,,,,7669.11,
17-June-2008,,,,7781.30,
18-June-2008,,,,7775.29,
19-June-2008,,,,7660.42,
20-June-2008,,,,7397.66,
23-June-2008,,,,7136.30,
24-June-2008,,,,7006.42,
25-June-2008,,,,7058.02,
26-June-2008,,,,7129.08,
27-June-2008,,,,6938.07,
30-June-2008,,,,6701.96,
1-July-2008,,,,6385.11,
2-July-2008,,,,6506.80,
3-July-2008,,,,6349.17,
4-July-2008,,,,6449.67,
7-July-2008,,,,6593.01,
8-July-2008,,,,6562.62,
9-July-2008,,,,6789.88,
10-July-2008,,,,6809.24,
11-July-2008,,,,6713.66,
14-July-2008,,,,6640.06,
15-July-2008,,,,6430.90,
16-July-2008,,,,6324.45,
17-July-2008,,,,6387.12,
18-July-2008,,,,6455.89,
21-July-2008,,,,6437.98,
22-July-2008,,,,6536.42,
23-July-2008,,,,6812.64,
24-July-2008,,,,6796.11,
25-July-2008,,,,6778.78,
28-July-2008,,,,6912.98,
29-July-2008,,,,6831.01,
30-July-2008,,,,6927.60,
31-July-2008,,,,6912.79,
1-August-2008,,,,6980.10,
4-August-2008,,,,7103.34,
5-August-2008,,,,7192.79,
6-August-2008,,,,7144.13,
7-August-2008,,,,7166.99,
8-August-2008,,,,7181.74,
11-August-2008,,,,7271.35,
12-August-2008,,,,7220.42,
13-August-2008,,,,7229.77,
14-August-2008,,,,7110.44,
18-August-2008,,,,7036.61,
19-August-2008,,,,7012.74,
20-August-2008,,,,7066.23,
21-August-2008,,,,6937.02,
22-August-2008,,,,6925.85,
25-August-2008,,,,6922.25,
26-August-2008,,,,6912.62,
27-August-2008,,,,6859.91,
28-August-2008,,,,6782.30,
29-August-2008,,,,6891.64,
1-September-2008,,,,6891.39,
2-September-2008,,,,6982.39,
4-September-2008,,,,6974.37,
5-September-2008,,,,6905.22,
8-September-2008,,,,6982.77,
9-September-2008,,,,6964.61,
10-September-2008,,,,6903.42,
11-September-2008,,,,6818.93,
12-September-2008,,,,6711.54,
15-September-2008,,,,6380.47,
16-September-2008,,,,6289.41,
17-September-2008,,,,6214.75,
18-September-2008,,,,6075.43,
19-September-2008,,,,6215.99,
22-September-2008,,,,6194.11,
23-September-2008,,,,6092.97,
