Date,Open,High,Low,Close
15-September-1989,,,,726.75,
18-September-1989,,,,730.25,
19-September-1989,,,,730.48,
20-September-1989,,,,727.33,
21-September-1989,,,,726.17,
22-September-1989,,,,726.26,
25-September-1989,,,,722.39,
26-September-1989,,,,726.51,
27-September-1989,,,,727.91,
28-September-1989,,,,734.32,
29-September-1989,,,,748.06,
3-October-1989,,,,740.72,
4-October-1989,,,,732.34,
5-October-1989,,,,722.52,
6-October-1989,,,,723.35,
9-October-1989,,,,729.17,
11-October-1989,,,,722.54,
12-October-1989,,,,727.04,
13-October-1989,,,,724.75,
16-October-1989,,,,715.80,
17-October-1989,,,,699.03,
18-October-1989,,,,721.20,
19-October-1989,,,,741.76,
20-October-1989,,,,738.52,
23-October-1989,,,,740.48,
24-October-1989,,,,738.32,
25-October-1989,,,,752.33,
26-October-1989,,,,755.58,
29-October-1989,,,,755.79,
31-October-1989,,,,746.58,
1-November-1989,,,,740.30,
2-November-1989,,,,741.65,
3-November-1989,,,,740.11,
6-November-1989,,,,735.72,
7-November-1989,,,,727.71,
8-November-1989,,,,719.68,
9-November-1989,,,,720.25,
10-November-1989,,,,708.00,
20-November-1989,,,,707.50,
21-November-1989,,,,715.00,
22-November-1989,,,,711.69,
23-November-1989,,,,695.89,
28-November-1989,,,,698.81,
29-November-1989,,,,678.98,
30-November-1989,,,,689.72,
1-December-1989,,,,712.00,
4-December-1989,,,,725.52,
5-December-1989,,,,735.31,
6-December-1989,,,,733.56,
7-December-1989,,,,732.09,
8-December-1989,,,,756.08,
12-December-1989,,,,792.99,
13-December-1989,,,,761.23,
14-December-1989,,,,764.37,
15-December-1989,,,,760.13,
18-December-1989,,,,772.83,
19-December-1989,,,,776.88,
20-December-1989,,,,768.78,
21-December-1989,,,,766.75,
22-December-1989,,,,778.64,
1-January-1990,,,,783.35,
2-January-1990,,,,780.01,
3-January-1990,,,,763.22,
4-January-1990,,,,760.80,
5-January-1990,,,,774.58,
8-January-1990,,,,778.33,
9-January-1990,,,,774.50,
10-January-1990,,,,782.48,
11-January-1990,,,,780.34,
15-January-1990,,,,763.55,
16-January-1990,,,,755.58,
17-January-1990,,,,745.19,
18-January-1990,,,,738.58,
19-January-1990,,,,710.75,
22-January-1990,,,,706.85,
23-January-1990,,,,722.01,
24-January-1990,,,,718.95,
25-January-1990,,,,716.23,
30-January-1990,,,,701.08,
31-January-1990,,,,683.32,
1-February-1990,,,,692.41,
2-February-1990,,,,684.48,
6-February-1990,,,,674.26,
7-February-1990,,,,674.47,
8-February-1990,,,,659.30,
12-February-1990,,,,673.27,
13-February-1990,,,,673.26,
14-February-1990,,,,679.29,
