Date,Open,High,Low,Close
13-June-2013,,,,1687.00,
14-June-2013,,,,1708.14,
17-June-2013,,,,1718.36,
18-June-2013,,,,1719.29,
19-June-2013,,,,1728.66,
20-June-2013,,,,1687.00,
21-June-2013,,,,1669.19,
24-June-2013,,,,1629.78,
25-June-2013,,,,1619.83,
26-June-2013,,,,1614.34,
27-June-2013,,,,1623.52,
28-June-2013,,,,1657.01,
1-July-2013,,,,1693.88,
2-July-2013,,,,1689.84,
3-July-2013,,,,1665.75,
4-July-2013,,,,1676.77,
5-July-2013,,,,1678.19,
8-July-2013,,,,1674.94,
9-July-2013,,,,1691.00,
10-July-2013,,,,1685.95,
11-July-2013,,,,1698.00,
12-July-2013,,,,1699.06,
15-July-2013,,,,1715.47,
16-July-2013,,,,1689.88,
17-July-2013,,,,1681.50,
18-July-2013,,,,1700.14,
19-July-2013,,,,1687.22,
22-July-2013,,,,1684.66,
23-July-2013,,,,1689.16,
24-July-2013,,,,1652.55,
25-July-2013,,,,1638.65,
26-July-2013,,,,1618.29,
29-July-2013,,,,1597.89,
30-July-2013,,,,1563.13,
31-July-2013,,,,1555.16,
1-August-2013,,,,1532.66,
2-August-2013,,,,1523.91,
5-August-2013,,,,1531.52,
6-August-2013,,,,1490.60,
7-August-2013,,,,1502.49,
8-August-2013,,,,1517.91,
12-August-2013,,,,1538.69,
13-August-2013,,,,1562.92,
14-August-2013,,,,1572.77,
16-August-2013,,,,1520.62,
19-August-2013,,,,1492.72,
20-August-2013,,,,1484.79,
21-August-2013,,,,1466.52,
22-August-2013,,,,1480.03,
23-August-2013,,,,1496.60,
26-August-2013,,,,1507.05,
27-August-2013,,,,1467.91,
28-August-2013,,,,1452.92,
29-August-2013,,,,1474.51,
30-August-2013,,,,1484.01,
2-September-2013,,,,1510.32,
3-September-2013,,,,1475.19,
4-September-2013,,,,1494.25,
5-September-2013,,,,1523.42,
6-September-2013,,,,1532.65,
10-September-2013,,,,1562.42,
11-September-2013,,,,1583.70,
12-September-2013,,,,1575.20,
13-September-2013,,,,1581.26,
16-September-2013,,,,1571.51,
17-September-2013,,,,1564.59,
18-September-2013,,,,1572.87,
19-September-2013,,,,1612.66,
20-September-2013,,,,1597.76,
23-September-2013,,,,1581.78,
24-September-2013,,,,1582.63,
25-September-2013,,,,1585.74,
26-September-2013,,,,1586.82,
27-September-2013,,,,1585.60,
30-September-2013,,,,1574.14,
1-October-2013,,,,1582.14,
3-October-2013,,,,1607.99,
4-October-2013,,,,1613.51,
7-October-2013,,,,1623.15,
8-October-2013,,,,1623.07,
9-October-2013,,,,1638.59,
10-October-2013,,,,1651.05,
11-October-2013,,,,1654.43,
14-October-2013,,,,1661.17,
15-October-2013,,,,1642.16,
17-October-2013,,,,1637.21,
18-October-2013,,,,1660.07,
21-October-2013,,,,1680.79,
22-October-2013,,,,1691.13,
23-October-2013,,,,1691.06,
24-October-2013,,,,1689.67,
25-October-2013,,,,1682.21,
28-October-2013,,,,1663.74,
29-October-2013,,,,1687.48,
30-October-2013,,,,1694.30,
31-October-2013,,,,1713.10,
1-November-2013,,,,1729.86,
5-November-2013,,,,1749.80,
6-November-2013,,,,1745.25,
7-November-2013,,,,1722.44,
8-November-2013,,,,1721.51,
11-November-2013,,,,1707.63,
12-November-2013,,,,1695.63,
13-November-2013,,,,1682.64,
14-November-2013,,,,1703.71,
18-November-2013,,,,1724.51,
19-November-2013,,,,1728.64,
20-November-2013,,,,1720.21,
21-November-2013,,,,1693.40,
22-November-2013,,,,1694.04,
25-November-2013,,,,1714.12,
26-November-2013,,,,1706.72,
27-November-2013,,,,1707.74,
28-November-2013,,,,1720.96,
29-November-2013,,,,1739.74,
2-December-2013,,,,1755.72,
3-December-2013,,,,1755.42,
4-December-2013,,,,1746.83,
5-December-2013,,,,1751.23,
6-December-2013,,,,1757.88,
9-December-2013,,,,1770.78,
10-December-2013,,,,1761.77,
11-December-2013,,,,1758.80,
12-December-2013,,,,1752.70,
13-December-2013,,,,1731.24,
16-December-2013,,,,1741.59,
17-December-2013,,,,1745.18,
18-December-2013,,,,1768.47,
19-December-2013,,,,1768.06,
20-December-2013,,,,1792.54,
23-December-2013,,,,1807.09,
24-December-2013,,,,1814.20,
26-December-2013,,,,1821.43,
27-December-2013,,,,1829.97,
30-December-2013,,,,1829.49,
31-December-2013,,,,1839.11,
1-January-2014,,,,1850.50,
2-January-2014,,,,1817.58,
3-January-2014,,,,1829.01,
6-January-2014,,,,1837.98,
7-January-2014,,,,1830.15,
8-January-2014,,,,1836.19,
9-January-2014,,,,1826.10,
10-January-2014,,,,1813.83,
13-January-2014,,,,1813.31,
14-January-2014,,,,1807.93,
15-January-2014,,,,1813.80,
16-January-2014,,,,1807.94,
17-January-2014,,,,1783.39,
20-January-2014,,,,1801.81,
21-January-2014,,,,1807.19,
22-January-2014,,,,1812.16,
23-January-2014,,,,1805.42,
24-January-2014,,,,1771.01,
27-January-2014,,,,1721.79,
28-January-2014,,,,1724.31,
29-January-2014,,,,1723.85,
30-January-2014,,,,1697.90,
31-January-2014,,,,1728.05,
3-February-2014,,,,1715.12,
4-February-2014,,,,1718.60,
5-February-2014,,,,1730.49,
6-February-2014,,,,1730.35,
7-February-2014,,,,1740.88,
10-February-2014,,,,1739.01,
11-February-2014,,,,1741.28,
12-February-2014,,,,1740.29,
13-February-2014,,,,1719.66,
14-February-2014,,,,1721.33,
17-February-2014,,,,1721.12,
18-February-2014,,,,1734.96,
19-February-2014,,,,1741.63,
20-February-2014,,,,1739.35,
21-February-2014,,,,1752.54,
24-February-2014,,,,1757.42,
25-February-2014,,,,1761.67,
26-February-2014,,,,1761.75,
28-February-2014,,,,1773.57,
3-March-2014,,,,1768.79,
4-March-2014,,,,1789.56,
5-March-2014,,,,1801.29,
6-March-2014,,,,1823.08,
7-March-2014,,,,1823.97,
10-March-2014,,,,1832.69,
11-March-2014,,,,1825.84,
12-March-2014,,,,1826.37,
13-March-2014,,,,1814.74,
14-March-2014,,,,1810.99,
18-March-2014,,,,1831.60,
19-March-2014,,,,1839.18,
20-March-2014,,,,1832.50,
21-March-2014,,,,1846.33,
24-March-2014,,,,1859.73,
25-March-2014,,,,1868.41,
26-March-2014,,,,1871.47,
27-March-2014,,,,1883.25,
28-March-2014,,,,1911.18,
31-March-2014,,,,1930.37,
1-April-2014,,,,1934.62,
2-April-2014,,,,1963.96,
3-April-2014,,,,1954.45,
4-April-2014,,,,1961.04,
7-April-2014,,,,1955.64,
9-April-2014,,,,1984.24,
10-April-2014,,,,1992.81,
11-April-2014,,,,1994.63,
15-April-2014,,,,1984.41,
16-April-2014,,,,1965.77,
17-April-2014,,,,1991.10,
21-April-2014,,,,2010.32,
22-April-2014,,,,2010.30,
23-April-2014,,,,2014.82,
25-April-2014,,,,2014.02,
28-April-2014,,,,2020.96,
29-April-2014,,,,2009.67,
30-April-2014,,,,1985.93,
2-May-2014,,,,1996.09,
