"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"11-Oct-2013","     4661.35","     4661.35","     4627.75","     4651.80","      548356069","        11945.92"
"14-Oct-2013","     4651.45","     4675.80","     4649.55","     4665.95","      480822006","         9332.53"
"15-Oct-2013","     4689.90","     4696.75","     4623.35","     4639.50","      585376032","        10541.81"
"17-Oct-2013","     4646.45","     4659.00","     4604.90","     4612.05","      574115740","        11679.72"
"18-Oct-2013","     4628.50","     4713.40","     4628.50","     4706.90","      590432109","        11816.49"
"21-Oct-2013","     4715.55","     4737.00","     4703.15","     4731.00","      630433420","        11467.58"
"22-Oct-2013","     4723.95","     4749.05","     4723.90","     4738.35","      687922994","        10719.74"
"23-Oct-2013","     4746.10","     4752.10","     4680.50","     4723.50","      636990241","        11300.02"
"24-Oct-2013","     4715.35","     4773.80","     4700.55","     4713.00","      633507947","        11294.93"
"25-Oct-2013","     4705.35","     4715.05","     4684.20","     4693.40","      453650743","         9046.72"
"28-Oct-2013","     4699.50","     4710.00","     4652.30","     4656.85","      436033418","         8268.30"
"29-Oct-2013","     4660.40","     4744.95","     4640.05","     4741.10","      576422286","        11850.64"
"30-Oct-2013","     4751.05","     4775.80","     4745.60","     4764.30","      537298099","        11317.48"
"31-Oct-2013","     4755.45","     4811.15","     4755.45","     4804.85","      820077988","        15400.96"
"01-Nov-2013","     4798.40","     4833.95","     4798.40","     4823.00","      818573210","        13636.31"
"03-Nov-2013","     4843.20","     4847.05","     4836.15","     4840.15","      154296117","         1944.47"
"05-Nov-2013","     4815.85","     4836.95","     4790.35","     4808.20","      712156962","        12158.38"
"06-Nov-2013","     4813.10","     4827.50","     4781.05","     4784.65","      598400277","        10273.98"
"07-Nov-2013","     4794.20","     4831.95","     4748.30","     4752.00","      606093919","        11112.09"
"08-Nov-2013","     4741.60","     4754.35","     4710.10","     4725.90","      530591303","        10804.68"
"11-Nov-2013","     4710.00","     4725.80","     4675.55","     4680.35","      511163730","        10367.36"
"12-Nov-2013","     4686.80","     4701.65","     4634.30","     4637.35","      527530071","        10126.55"
"13-Nov-2013","     4623.65","     4654.15","     4605.15","     4614.65","      508270414","        10922.25"
"14-Nov-2013","     4648.30","     4698.20","     4648.30","     4670.10","      466180382","         9725.89"
"18-Nov-2013","     4706.90","     4763.30","     4706.90","     4760.65","      500152067","        10186.30"
"19-Nov-2013","     4764.75","     4779.45","     4754.20","     4771.75","      551533871","        10301.97"
"20-Nov-2013","     4762.45","     4778.05","     4709.50","     4720.05","      599711558","        10325.45"
"21-Nov-2013","     4702.65","     4702.65","     4623.85","     4631.85","      486703435","         9476.15"
"22-Nov-2013","     4653.25","     4668.95","     4617.15","     4632.45","      438104233","         8426.66"
"25-Nov-2013","     4661.35","     4719.95","     4661.35","     4716.00","      428712454","         9263.28"
"26-Nov-2013","     4706.35","     4718.75","     4673.15","     4679.15","      680340969","        14532.39"
"27-Nov-2013","     4683.00","     4690.10","     4659.25","     4679.85","      458159638","         9292.33"
"28-Nov-2013","     4704.55","     4722.70","     4696.50","     4708.80","      720142017","        12046.91"
"29-Nov-2013","     4717.15","     4773.50","     4717.15","     4770.10","      578139547","         9660.14"
"02-Dec-2013","     4770.85","     4812.40","     4770.85","     4804.40","      498158889","         9176.68"
"03-Dec-2013","     4796.20","     4815.95","     4788.70","     4795.90","      519665252","         9426.21"
"04-Dec-2013","     4787.65","     4803.75","     4758.85","     4764.55","      695838009","         9879.35"
"05-Dec-2013","     4836.50","     4857.85","     4809.85","     4815.00","      637327138","        12402.91"
"06-Dec-2013","     4811.90","     4838.05","     4809.25","     4830.80","      534043508","         9928.16"
"09-Dec-2013","     4938.75","     4938.75","     4887.70","     4898.15","      598463367","        12605.24"
"10-Dec-2013","     4893.40","     4894.95","     4855.40","     4873.80","      615540644","        13082.56"
"11-Dec-2013","     4857.70","     4865.85","     4835.65","     4855.60","      482924059","         9582.89"
